,Date,Open,High,Low,Close,Adj Close,Volume
0,1970-01-02,18.225,18.2875,18.200001,18.237499,4.615958999999999,316000
1,1970-01-05,18.299999,18.4125,18.299999,18.4125,4.660251000000001,424000
2,1970-01-06,18.4125,18.450001,18.3125,18.424999,4.6634150000000005,488000
3,1970-01-07,18.424999,18.4375,18.3125,18.4375,4.6665790000000005,458000
4,1970-01-08,18.4375,18.475,18.375,18.475,4.6760720000000005,708000
5,1970-01-09,18.475,18.525,18.424999,18.450001,4.669741999999999,586000
6,1970-01-12,18.450001,18.487499,18.387501,18.387501,4.6539269999999995,380000
7,1970-01-13,18.387501,18.799999,18.387501,18.706249,4.7346,744000
8,1970-01-14,18.706249,18.775,18.65,18.6875,4.729851,392000
9,1970-01-15,18.75,19.075001,18.75,19.075001,4.82793,422000
10,1970-01-16,19.075001,19.35,18.450001,18.487499,4.679231,1284000
11,1970-01-19,17.75625,17.75625,17.475,17.5,4.429293,744000
12,1970-01-20,17.5,17.85,17.25,17.825001,4.511553,1682000
13,1970-01-21,17.825001,17.825001,17.674999,17.75,4.492572,946000
14,1970-01-22,17.75,17.85,17.7125,17.799999,4.505228,638000
15,1970-01-23,17.799999,17.950001,17.799999,17.799999,4.505228,816000
16,1970-01-26,17.700001,17.700001,17.424999,17.424999,4.41031,696000
17,1970-01-27,17.2875,17.2875,17.049999,17.262501,4.369186,1088000
18,1970-01-28,17.262501,17.362499,17.012501,17.049999,4.315403,846000
19,1970-01-29,17.049999,17.237499,16.7125,16.924999,4.283762,1072000
20,1970-01-30,16.759375,17.237499,16.7125,16.759375,4.2418379999999996,428000
21,1970-02-02,16.85,17.15,16.85,17.15,4.34071,790000
22,1970-02-03,17.15,17.3375,16.825001,17.1625,4.343873,1136000
23,1970-02-04,17.1625,17.3375,16.825001,17.1625,4.343873,904000
24,1970-02-05,16.975,16.975,16.737499,16.9375,4.286928,818000
25,1970-02-06,16.9375,17.262501,16.9125,17.237499,4.362851999999999,704000
26,1970-02-09,17.325001,17.575001,17.325001,17.487499,4.426132,570000
27,1970-02-10,17.487499,17.575001,17.225,17.299999,4.378673,512000
28,1970-02-11,17.4375,17.75,17.4375,17.75,4.492572,584000
29,1970-02-12,17.75,17.75,17.525,17.6,4.454608,500000
30,1970-02-13,17.6,17.6,17.375,17.450001,4.416638,498000
31,1970-02-16,17.450001,17.5375,17.387501,17.4625,4.4198,414000
32,1970-02-17,17.4625,17.487499,17.299999,17.487499,4.426132,444000
33,1970-02-18,17.487499,17.737499,17.475,17.5625,4.445114,392000
34,1970-02-19,17.6,17.725,17.6,17.6,4.454608,650000
35,1970-02-20,17.6,17.625,17.4,17.475,4.422967,644000
36,1970-02-24,17.424999,17.424999,17.225,17.225,4.359691000000001,372000
37,1970-02-25,17.225,17.450001,16.75,17.25,4.366021,1224000
38,1970-02-26,17.25,17.25,16.975,17.2125,4.356526000000001,568000
39,1970-02-27,17.2125,17.25,17.012501,17.012501,4.3059080000000005,578000
40,1970-03-02,17.012501,17.049999,16.737499,16.775,4.245796,994000
41,1970-03-03,16.775,16.775,16.65,16.6625,4.217322,812000
42,1970-03-04,16.6625,16.737499,16.424999,16.487499,4.173029,1068000
43,1970-03-05,16.487499,16.6,16.450001,16.4625,4.166702,644000
44,1970-03-06,16.456249,16.456249,16.174999,16.262501,4.116082,1110000
45,1970-03-09,16.0,16.0,15.7625,15.8375,4.008514,1460000
46,1970-03-10,15.925,16.325001,15.925,16.325001,4.131899,948000
47,1970-03-11,16.325001,16.6,16.25,16.424999,4.157211,948000
48,1970-03-12,16.424999,16.4375,16.25625,16.4375,4.160372,644000
49,1970-03-13,16.4375,16.450001,16.2125,16.2125,4.103426,434000
50,1970-03-16,16.0875,16.0875,15.925,16.0,4.049641,750000
51,1970-03-17,16.0,16.200001,15.9625,16.125,4.081278,796000
52,1970-03-18,16.125,16.2125,16.112499,16.112499,4.078114,602000
53,1970-03-19,16.112499,16.1875,16.0625,16.11875,4.079697,484000
54,1970-03-20,16.11875,16.15,15.8875,15.9875,4.046479,732000
55,1970-03-23,15.9875,16.137501,15.8875,16.1,4.07495,334000
56,1970-03-24,16.1,16.4,16.1,16.4,4.15088,432000
57,1970-03-25,16.475,16.85,16.475,16.65,4.214158,1246000
58,1970-03-26,16.65,16.75,16.637501,16.6625,4.217322,450000
59,1970-03-30,16.7125,16.887501,16.7125,16.8375,4.261616,510000
60,1970-03-31,16.8375,16.924999,16.799999,16.924999,4.283762,590000
61,1970-04-01,16.924999,17.025,16.862499,16.887501,4.274269,522000
62,1970-04-02,16.85,16.85,16.5875,16.6,4.201502,418000
63,1970-04-03,16.5375,16.5375,16.2875,16.325001,4.131899,464000
64,1970-04-06,16.174999,16.174999,15.875,16.025,4.055969999999999,894000
65,1970-04-07,16.025,16.15,15.95,16.0,4.049641,556000
66,1970-04-08,16.0,16.200001,15.975,16.200001,4.100261,428000
67,1970-04-09,16.275,16.525,16.275,16.2875,4.122408999999999,614000
68,1970-04-10,16.2875,16.85,16.2875,16.575001,4.1951730000000005,1498000
69,1970-04-13,16.549999,16.549999,16.31875,16.35,4.138228,424000
70,1970-04-14,16.325001,16.325001,16.0625,16.237499,4.10975,634000
71,1970-04-15,16.237499,16.35,16.137501,16.1625,4.090773,446000
72,1970-04-16,16.1625,16.25,16.025,16.0375,4.059133999999999,460000
73,1970-04-17,16.0375,16.174999,15.975,16.125,4.081278,546000
74,1970-04-20,16.15,16.2875,16.15,16.225,4.106591000000001,438000
75,1970-04-21,16.225,16.25,16.049999,16.049999,4.062296,430000
76,1970-04-22,15.98125,15.98125,15.65,15.65,3.9610540000000003,1354000
77,1970-04-23,15.65,15.725,15.475,15.48125,3.9183440000000003,1060000
78,1970-04-24,15.48125,15.575,15.3,15.45,3.9104370000000004,852000
79,1970-04-27,15.45,15.5,14.98125,15.075,3.815521,1642000
80,1970-04-28,14.9875,14.9875,14.5,14.5125,3.67315,2022000
81,1970-04-29,14.5125,15.05,14.3125,15.0125,3.799703,2082000
82,1970-04-30,15.0125,15.0125,14.725,14.9,3.771228,924000
83,1970-05-01,14.9,14.95,14.6,14.8375,3.7705919999999997,916000
84,1970-05-04,14.73125,14.73125,14.1,14.15,3.595885,1722000
85,1970-05-05,14.15,14.2,13.95,14.15,3.595885,1378000
86,1970-05-06,14.15,14.55,14.025,14.375,3.65306,1604000
87,1970-05-07,14.375,14.50625,14.375,14.4875,3.6816489999999997,546000
88,1970-05-08,14.4875,14.525,14.35,14.525,3.691178,536000
89,1970-05-11,14.475,14.475,14.25,14.275,3.627648,462000
90,1970-05-12,14.275,14.4125,13.9,14.125,3.589528,974000
91,1970-05-13,13.9375,13.9375,13.7125,13.75,3.494232,1644000
92,1970-05-14,13.725,13.725,13.1,13.425,3.4116410000000004,1666000
93,1970-05-15,13.425,13.55,13.15,13.5375,3.440232,2096000
94,1970-05-18,13.5375,13.575,13.475,13.5,3.4307,788000
95,1970-05-19,13.425,13.425,12.925,12.925,3.2845760000000004,1018000
96,1970-05-20,12.775,12.775,12.475,12.525,3.1829259999999997,1576000
97,1970-05-21,12.2875,12.2875,11.85,12.275,3.119393,2536000
98,1970-05-22,12.275,12.5,12.15,12.4,3.15116,1164000
99,1970-05-25,12.3625,12.3625,12.05,12.05,3.062217,1012000
100,1970-05-26,12.05,12.3625,11.9,12.1,3.074923,2308000
101,1970-05-27,12.25,13.025,12.25,12.95,3.2909300000000004,1874000
102,1970-05-28,12.95,13.3875,12.95,13.35,3.392581,2090000
103,1970-05-29,13.35,13.9875,13.175,13.9,3.5323519999999995,1780000
104,1970-06-01,13.9,14.35,13.8,14.35,3.646707,1660000
105,1970-06-02,14.325,14.325,13.9625,14.15,3.595885,1206000
106,1970-06-03,14.15,14.2375,13.9,14.15,3.595885,1338000
107,1970-06-04,14.0625,14.0625,13.5125,13.5625,3.4465800000000004,1080000
108,1970-06-05,13.5625,13.6625,13.2125,13.5,3.4307,1542000
109,1970-06-08,13.5,13.675,13.2625,13.3125,3.3830519999999997,614000
110,1970-06-09,13.3125,13.475,13.25,13.4125,3.408466,664000
111,1970-06-10,13.4125,13.4375,13.1,13.275,3.3735199999999996,646000
112,1970-06-11,13.1125,13.1125,12.9375,12.9625,3.294107,892000
113,1970-06-12,12.9625,13.0,12.6625,12.95,3.2909300000000004,958000
114,1970-06-15,12.95,13.15,12.725,12.95,3.2909300000000004,748000
115,1970-06-16,12.95625,13.55,12.95625,13.55,3.4434050000000003,666000
116,1970-06-17,13.55,13.6375,13.2625,13.2875,3.376699,898000
117,1970-06-18,13.2875,13.6,13.0,13.6,3.456116,806000
118,1970-06-19,13.6,13.7875,13.5125,13.5125,3.433879,722000
119,1970-06-22,13.5125,13.6625,13.25625,13.425,3.4116410000000004,694000
120,1970-06-23,13.425,13.5,12.85625,12.85625,3.2671069999999998,726000
121,1970-06-24,12.85625,13.1125,12.75,12.75,3.240104,1080000
122,1970-06-25,12.8375,13.1,12.8375,12.9,3.278224,1568000
123,1970-06-26,12.9,13.05,12.7625,12.875,3.271871,856000
124,1970-06-29,12.875,13.0,12.725,12.875,3.271871,862000
125,1970-06-30,12.875,12.9875,12.5,12.5,3.176572,1096000
126,1970-07-01,12.5,12.7375,12.49375,12.7,3.2274,778000
127,1970-07-02,12.7,12.7625,12.5,12.5375,3.1861029999999997,756000
128,1970-07-06,12.51875,12.51875,12.2,12.225,3.106688,824000
129,1970-07-07,12.225,12.3625,12.1,12.125,3.0812779999999997,960000
130,1970-07-08,12.175,12.625,12.175,12.625,3.20834,1202000
131,1970-07-09,12.625,12.8,12.525,12.7125,3.230573,926000
132,1970-07-10,12.7125,12.725,12.4375,12.5125,3.179752,594000
133,1970-07-13,12.5125,12.6,12.25,12.3875,3.147984,832000
134,1970-07-14,12.3875,12.5875,12.3875,12.5625,3.192457,728000
135,1970-07-15,12.5625,12.65,12.5,12.6,3.201987,854000
136,1970-07-16,12.6125,12.775,12.6125,12.7,3.2274,1006000
137,1970-07-17,12.7875,13.0,12.7875,12.975,3.2972839999999994,1262000
138,1970-07-20,12.975,13.125,12.8875,12.9,3.278224,1108000
139,1970-07-21,12.9,12.9125,12.8125,12.8875,3.2750470000000003,482000
140,1970-07-22,12.8875,12.95,12.68125,12.7,3.2274,1004000
141,1970-07-23,12.7,12.925,12.675,12.85,3.265517,1156000
142,1970-07-24,12.8,12.8,12.65,12.6875,3.224221,774000
143,1970-07-27,12.6875,12.75,12.5625,12.6625,3.21787,422000
144,1970-07-28,12.6625,12.6875,12.5625,12.6375,3.211516,602000
145,1970-07-29,12.6375,12.7,12.6125,12.625,3.20834,674000
146,1970-07-30,12.625,12.7375,12.625,12.675,3.221046,630000
147,1970-07-31,12.6625,12.6625,12.55625,12.6125,3.220407,610000
148,1970-08-03,12.59375,12.59375,12.40625,12.4625,3.182107,722000
149,1970-08-04,12.4625,12.525,12.35,12.5125,3.194875,806000
150,1970-08-05,12.5125,12.5375,12.4625,12.4875,3.1884900000000003,336000
151,1970-08-06,12.4875,12.4875,12.375,12.425,3.172534,418000
152,1970-08-07,12.425,12.45,12.25,12.275,3.13423,722000
153,1970-08-10,12.275,12.275,11.925,12.025,3.070401,1146000
154,1970-08-11,11.9875,11.9875,11.8125,11.9125,3.041675,742000
155,1970-08-12,11.7875,11.7875,11.525,11.53125,2.944327,1230000
156,1970-08-13,11.5,11.5,10.9375,11.15,2.846981,3246000
157,1970-08-14,11.25,11.49375,11.25,11.49375,2.934752,1106000
158,1970-08-17,11.49375,11.7625,11.375,11.7625,3.003372,770000
159,1970-08-18,11.775,12.0125,11.775,11.9875,3.060824,1174000
160,1970-08-19,11.9875,12.1375,11.9375,11.9875,3.060824,698000
161,1970-08-20,11.9875,12.2375,11.8,12.2375,3.124657,874000
162,1970-08-21,12.2375,12.5,12.1875,12.4625,3.182107,1082000
163,1970-08-24,12.7,13.1375,12.7,13.1375,3.354457,2094000
164,1970-08-25,13.1375,13.4,13.0,13.2,3.3704169999999998,1616000
165,1970-08-26,13.2,13.5,13.15,13.1875,3.3672230000000005,1102000
166,1970-08-27,13.1875,13.3875,13.0375,13.2625,3.386374,854000
167,1970-08-28,13.2625,13.575,13.2625,13.5625,3.4629730000000003,914000
168,1970-08-31,13.475,13.475,13.3125,13.3125,3.399143,564000
169,1970-09-01,13.2625,13.2625,13.05,13.19375,3.36882,820000
170,1970-09-02,13.19375,13.2,12.9625,13.2,3.3704169999999998,822000
171,1970-09-03,13.2875,13.5125,13.2875,13.4875,3.443825,830000
172,1970-09-04,13.4875,13.7,13.4625,13.6,3.472554,782000
173,1970-09-08,13.6,13.75,13.35,13.75,3.510851,936000
174,1970-09-09,13.75,13.8375,13.5125,13.65,3.4853169999999998,976000
175,1970-09-10,13.5375,13.5375,13.4,13.4125,3.4246779999999997,762000
176,1970-09-11,13.4125,13.55,13.4125,13.4375,3.431059,496000
177,1970-09-14,13.4375,13.525,13.225,13.3,3.39595,798000
178,1970-09-15,13.3,13.325,13.1625,13.31875,3.4007379999999996,502000
179,1970-09-16,13.31875,13.575,13.30625,13.55,3.4597830000000003,570000
180,1970-09-17,13.65,13.85,13.65,13.825,3.5300019999999996,772000
181,1970-09-18,13.8625,14.2375,13.8625,14.0125,3.577875,844000
182,1970-09-21,14.0125,14.01875,13.6875,13.775,3.517233,894000
183,1970-09-22,13.7625,13.7625,13.575,13.6625,3.4885080000000004,658000
184,1970-09-23,13.6875,14.05,13.6875,14.05,3.58745,1240000
185,1970-09-24,14.1,14.425,14.1,14.425,3.6832010000000004,1476000
186,1970-09-25,14.425,14.5625,14.35,14.425,3.6832010000000004,846000
187,1970-09-28,14.425,14.6,14.35,14.5,3.702352,494000
188,1970-09-29,14.5,14.6375,14.3,14.5875,3.7246910000000004,766000
189,1970-09-30,14.5875,14.775,14.575,14.5875,3.7246910000000004,854000
190,1970-10-01,14.5875,14.85,14.5875,14.85,3.791719,496000
191,1970-10-02,14.8875,15.05,14.8875,14.9625,3.820444,974000
192,1970-10-05,15.025,15.4,15.025,15.3375,3.916193,732000
193,1970-10-06,15.35,15.4875,15.35,15.35625,3.920982,816000
194,1970-10-07,15.35,15.35,15.075,15.2875,3.903429,696000
195,1970-10-08,15.25,15.25,14.9,14.9125,3.8076769999999995,772000
196,1970-10-09,14.9125,14.925,14.7,14.80625,3.7805480000000005,766000
197,1970-10-12,14.7375,14.7375,14.425,14.5125,3.705542,612000
198,1970-10-13,14.5125,14.65,14.3,14.6,3.7278849999999997,554000
199,1970-10-14,14.6,14.7375,14.5125,14.575,3.7215019999999996,352000
200,1970-10-15,14.575,14.74375,14.575,14.65,3.740651,422000
201,1970-10-16,14.65,14.675,14.5,14.5375,3.711926,620000
202,1970-10-19,14.3375,14.3375,14.15,14.225,3.6321339999999998,766000
203,1970-10-20,14.225,14.6,14.225,14.55625,3.7167160000000004,512000
204,1970-10-21,14.55625,14.775,14.4375,14.44375,3.68799,566000
205,1970-10-22,14.44375,14.475,14.3125,14.4,3.676817,382000
206,1970-10-23,14.4375,14.7625,14.4375,14.75,3.7661849999999997,400000
207,1970-10-26,14.7375,14.7375,14.45,14.4875,3.69916,394000
